cats	this morning i was checking the cams for find the cats... https://t.co/f1nkxyzxoe
cats	i think now i'm a bird person. gave up on cats. these tiny wirdos wingy creatures deserve love.  
ps: his name is y… https://t.co/jkbubuw82w
cats	🐈 #catsoftwitter
https://t.co/hab4rxhaxd
cats	got my cat food from amazon today! i thank you and my cats thank you. you know who you are ❤️
puppies	"remind me to take mitsuru on a walk.

puppies need their exercise, after all."
cats	#streetpassredux imagine trying to defeat the ghosts using rabbits and cats couldn't be me https://t.co/di7cf776sm
cats	i already have one planned called "hal, it's about cats" i don't even know what that's gonna sound like. we're off to a great start
cats	trying to get back into oil painting but that with two very curious cats around is a whole another thing https://t.co/4wnrsjrz23
cats	i want a cat but i also love my dog soo much ugh why can't chicken get along w cats he doesn't attack them he just… https://t.co/sqxhavrbn8
puppies	wish my dog could have puppies
puppies	so, this is cute, but where is the father of those puppies and where's the puppy support money?
cats	one of th damn cats put a dead bird under my bed
cats	american cats: meow 
mexican cats: miau
cats	cats and kittens (cats and kittens) / don't get left behind (get left behind) https://t.co/eilmfpvu1c
kittens	cats and kittens (cats and kittens) / don't get left behind (get left behind) https://t.co/eilmfpvu1c
cats	cats
cats	when i have my own apartment again perhaps i will have moon shelf that ik my cats will knock over
puppies	bulldogs are only cute when they’re puppies. sorry.
cats	whenever i see my cat getting tangled up with some other  cats  " i've raised a fk whore"
cats	the hell with the house these people are freakin morons they have no dam brains left. if you cats change the wordin… https://t.co/dfvj6vjxzn
cats	my cats :) https://t.co/hhtu1gi0fn
cats	christ cats are so fucking good
cats	🐈 #catsoftwitter
https://t.co/syqnkt5hyx
puppies	puppies 🥺 https://t.co/t2efizm8j2
kittens	sign: justice for sick and dying kittens sold as  https://t.co/w7hvd37aax
cats	cats are so wonderfully weird 😸 https://t.co/xrqsajlboe
cats	my mom: how many treats should i give them (my cats)? 
me: one each is fine 
my mom: *gives them eight treats*
cats	do you think indoor cats see wild animals outside and think they’re homeless
cats	😼
#cats https://t.co/4ohohdgmra
cats	"you've made your bed, now i will lie in it." ~cats
cats	13. cats
cats	grandísima hija de puta! #estamierdasejodio #animalrights #cats #animalcruelty
kittens	sign: justice for sick and dying kittens sold as  https://t.co/8ym80c5hjf
